date|time|description|vendor|amount
2023-01-13|10:27:49|coffee supplies|Home Depot|4509.82
2024-11-04|09:55:32|website design invoice|Delta Partners|1955.95
2023-02-08|14:37:36|client payment|BlueSky Consulting|4739.75
2024-01-06|13:09:59|marketing expense|Walmart|3631.13
2024-11-11|20:30:49|marketing expense|Target|4003.6
2023-01-24|07:38:20|payment received|Mark Thompson|3535.84
2025-02-15|10:43:45|business lunch|Staples|-20.05
2024-02-15|01:31:36|printer ink|Home Depot|2502.46
2024-02-04|10:35:33|advertising campaign|Adobe|3788.71
2025-05-22|03:45:34|advertising campaign|Apple|3657.49
2023-02-26|17:17:40|travel reimbursement|Delta Partners|23.95
2023-09-09|12:57:33|consulting fee|Target|3593.6
2025-05-20|08:12:35|equipment maintenance|Spectrum|611.66
2023-11-05|11:53:42|domain renewal|Apple|2975.14
2024-09-11|19:55:49|software subscription|Best Buy|-343.5
2024-01-08|10:22:07|advertising campaign|Tech Solutions|2039.69
2024-03-28|12:53:20|client payment|Mark Thompson|4652.48
2023-12-27|07:47:26|client payment|Joe Smith|2829.29
2025-01-13|07:54:12|travel reimbursement|Joe Smith|4598.44
2023-12-20|12:34:10|website design invoice|XYZ Ltd|520.93
2025-01-09|16:20:23|ergonomic chair|XYZ Ltd|855.99
2023-10-13|06:15:47|client payment|PayPal|878.78
2023-08-21|03:57:20|business lunch|Best Buy|2180.24
2023-05-13|12:06:34|app subscription|Acme Corp|2262.55
2024-11-05|10:25:47|payment received|BlueSky Consulting|2763.08
2025-09-26|08:01:33|laptop purchase|Amazon|614.22
2023-01-13|23:32:12|ergonomic chair|Best Buy|1400.9
2024-09-04|12:06:43|travel reimbursement|Adobe|-453.7
2024-03-21|13:42:28|training seminar|Tech Solutions|3729.4
2024-10-17|19:47:18|internet bill|Adobe|780.41
2023-01-10|14:37:47|training seminar|Mark Thompson|2422.78
2023-12-07|15:27:14|internet bill|Acme Corp|3063.7
2023-10-24|18:43:55|marketing expense|Acme Corp|1275.46
2023-10-15|01:42:58|project milestone payment|Sunrise LLC|2097.55
2023-03-19|18:14:55|coffee supplies|Staples|31.78
2024-06-25|19:24:54|printer ink|Sarah Johnson|4875.75
2023-09-02|08:59:32|office supplies|Best Buy|4429.26
2023-04-19|07:41:29|website design invoice|Delta Partners|-494.67
2023-09-18|11:07:09|client payment|Staples|1566.83
2025-09-25|05:08:48|printer ink|Amazon|1284.92
2024-02-10|16:49:08|domain renewal|Spectrum|3886.25
2024-06-28|16:56:25|payment received|XYZ Ltd|3345.43
2024-07-14|01:51:57|website design invoice|Mark Thompson|-677.4
2024-07-26|18:18:21|coffee supplies|Sunrise LLC|84.68
2024-03-18|09:15:05|domain renewal|XYZ Ltd|597.76
2023-07-25|16:48:55|app subscription|Sarah Johnson|3258.86
2023-03-28|00:25:07|project milestone payment|Amazon|4886.48
2025-05-08|13:32:16|coffee supplies|Target|1462.18
2023-07-16|19:27:45|advertising campaign|Best Buy|2992.63
2025-04-25|18:04:23|office supplies|Spectrum|-920.6
2024-07-19|07:09:31|payment received|Apple|1691.01
2023-03-01|03:43:48|advertising campaign|Apple|1637.78
2023-09-06|16:21:32|laptop purchase|Spectrum|2611.84
2023-01-02|03:29:26|laptop purchase|BlueSky Consulting|2018.52
2025-09-29|14:02:39|payment received|Sunrise LLC|1785.59
2023-09-17|18:30:57|travel reimbursement|Tech Solutions|1601.3
2024-08-14|01:09:14|training seminar|Staples|972.34
2023-07-31|08:15:54|payment received|BlueSky Consulting|4667.9
2024-05-02|20:42:40|laptop purchase|Mark Thompson|3601.54
2024-10-31|22:57:29|marketing expense|Staples|3781.46
2025-02-28|16:04:23|business lunch|PayPal|195.49
2025-06-02|10:48:40|travel reimbursement|Tech Solutions|1424.75
2025-01-25|09:16:15|app subscription|Adobe|3291.46
2024-08-19|17:58:49|printer ink|Adobe|-606.32
2023-02-28|19:13:11|coffee supplies|Walmart|1240.51
2024-03-24|04:21:41|office supplies|Delta Partners|1233.68
2025-10-10|16:18:55|payment received|Staples|1654.89
2024-05-03|23:04:23|project milestone payment|Walmart|-909.58
2023-06-02|22:42:38|app subscription|Sunrise LLC|3769.67
2023-09-07|21:23:46|equipment maintenance|Walmart|1459.69
2023-08-09|02:33:05|app subscription|XYZ Ltd|1269.24
2024-06-05|22:30:28|app subscription|Best Buy|2023.43
2025-03-05|12:06:44|coffee supplies|Sunrise LLC|4527.7
2024-05-27|20:52:06|business lunch|Staples|3792.31
2023-06-27|22:55:28|travel reimbursement|Sarah Johnson|3709.21
2023-11-24|19:11:06|app subscription|Home Depot|4464.29
2023-02-15|10:53:31|website design invoice|Home Depot|1696.2
2024-05-11|12:47:02|payment received|Mark Thompson|-404.65
2024-05-06|18:47:12|payment received|IKEA|397.32
2024-03-15|18:58:58|domain renewal|Target|3590.62
2023-06-18|10:24:32|domain renewal|Apple|-61.33
2023-01-19|06:44:55|consulting fee|Walmart|3133.01
2025-04-25|16:42:39|marketing expense|BlueSky Consulting|527.08
2024-02-18|12:26:22|project milestone payment|IKEA|339.78
2024-08-04|05:17:48|client payment|Tech Solutions|4441.3
2024-01-12|01:33:13|training seminar|Acme Corp|1399.07
2023-10-25|03:04:57|laptop purchase|Adobe|1339.98
2024-09-01|06:45:56|laptop purchase|PayPal|1933.89
2023-09-17|20:24:10|software subscription|Acme Corp|-158.34
2024-01-10|12:33:11|payment received|Walmart|2263.73
2025-02-22|17:02:27|laptop purchase|XYZ Ltd|1211.56
2024-06-05|07:05:16|payment received|Acme Corp|3892.47
2024-05-24|21:47:12|coffee supplies|PayPal|-753.59
2024-09-20|12:20:44|training seminar|Joe Smith|3792.6
2024-03-14|23:41:30|office supplies|Sarah Johnson|3381.45
2024-01-01|07:14:53|travel reimbursement|XYZ Ltd|776.17
2023-07-11|20:56:18|ergonomic chair|Walmart|1838.98
2024-03-05|20:30:18|payment received|Best Buy|3962.78
2024-04-12|07:35:51|website design invoice|Sarah Johnson|1485.94
2023-08-29|18:45:45|software subscription|Apple|-361.07
2024-12-10|20:38:32|app subscription|Target|1988.2
2025-01-22|18:40:42|internet bill|PayPal|3713.35
2023-10-08|00:44:04|website design invoice|Staples|1734.21
2023-02-28|12:46:30|consulting fee|Best Buy|3608.05
2024-03-31|20:46:29|ergonomic chair|BlueSky Consulting|4470.05
2025-09-09|14:33:33|advertising campaign|Acme Corp|683.54
2023-12-07|10:45:14|app subscription|Spectrum|-239.62
2025-03-04|02:25:52|business lunch|Sarah Johnson|-9.23
2023-02-18|17:39:27|training seminar|Acme Corp|3333.8
2024-04-12|09:42:38|consulting fee|Joe Smith|3887.88
2024-01-26|05:10:02|printer ink|Sunrise LLC|2521.15
2025-03-12|10:56:22|laptop purchase|Staples|427.35
2024-02-14|11:36:15|payment received|IKEA|3123.43
2024-02-03|07:04:06|project milestone payment|Mark Thompson|3257.0
2025-03-17|07:44:03|domain renewal|Joe Smith|1352.31
2025-09-23|11:29:12|consulting fee|Best Buy|2452.68
2024-03-10|10:18:40|advertising campaign|Home Depot|3454.99
2024-08-16|01:31:52|training seminar|Walmart|3220.47
2023-07-09|08:58:12|business lunch|Walmart|959.78
2023-03-20|00:57:52|laptop purchase|Best Buy|2570.78
2025-05-24|13:37:35|project milestone payment|Amazon|2385.63
2024-02-09|01:36:26|coffee supplies|Staples|3567.19
2024-09-12|19:13:36|travel reimbursement|BlueSky Consulting|4626.75
2025-07-14|17:01:01|coffee supplies|Mark Thompson|606.31
2023-09-18|07:45:53|equipment maintenance|Sunrise LLC|2580.0
2025-04-25|22:22:44|equipment maintenance|Amazon|2988.78
2023-06-01|14:24:42|business lunch|Apple|3899.04
2023-10-25|04:08:41|printer ink|Joe Smith|3420.23
2024-09-22|02:19:13|coffee supplies|Best Buy|3063.21
2024-09-17|16:16:53|training seminar|Adobe|784.22
2024-04-02|07:07:57|payment received|Staples|4495.09
2025-03-24|11:07:42|app subscription|Amazon|3868.94
2023-07-14|18:27:05|payment received|Amazon|2873.15
2024-10-21|09:37:17|project milestone payment|Sarah Johnson|2591.85
2025-04-18|10:49:00|payment received|Amazon|-628.66
2025-05-19|15:55:40|domain renewal|Amazon|2228.69
2023-09-11|03:17:13|laptop purchase|Spectrum|4200.66
2025-10-08|21:09:55|client payment|XYZ Ltd|1269.25
2025-07-02|08:23:04|payment received|PayPal|1922.89
2023-07-17|19:22:10|internet bill|Target|27.94
2023-01-05|19:13:18|consulting fee|Adobe|-675.4
2024-03-29|19:31:05|laptop purchase|Home Depot|2661.31
2024-03-20|20:46:48|travel reimbursement|Target|4090.42
2025-07-23|18:21:06|training seminar|Tech Solutions|204.57
2025-06-15|08:05:29|payment received|Spectrum|341.78
2025-06-08|15:36:20|internet bill|IKEA|-10.44
2023-03-24|10:03:12|coffee supplies|Acme Corp|978.89
2023-03-08|14:52:55|website design invoice|PayPal|2852.83
2024-08-22|01:23:14|marketing expense|Spectrum|3619.46
2025-07-22|16:44:51|app subscription|Best Buy|1795.25
2023-11-18|09:25:31|office supplies|Tech Solutions|-648.79
2023-07-14|06:08:26|client payment|BlueSky Consulting|4153.54
2024-06-01|22:18:46|consulting fee|Walmart|3820.39
2024-08-01|04:26:39|advertising campaign|Delta Partners|2993.51
2023-07-11|04:49:59|internet bill|PayPal|2759.86
2024-07-03|23:51:29|training seminar|Mark Thompson|4365.08
2025-01-20|21:35:36|software subscription|Tech Solutions|3336.16
2025-04-25|08:14:29|app subscription|Joe Smith|2663.48
2024-10-03|12:26:15|app subscription|Walmart|-597.66
2023-03-04|03:58:44|printer ink|Joe Smith|421.08
2024-07-30|04:55:01|advertising campaign|Sunrise LLC|1220.5
2023-03-19|16:35:18|printer ink|Staples|-482.67
2025-07-19|02:47:36|advertising campaign|Sarah Johnson|164.21
2024-06-06|16:56:17|coffee supplies|Acme Corp|2304.82
2023-08-17|16:04:29|training seminar|XYZ Ltd|4269.19
2023-03-02|18:56:22|laptop purchase|Sunrise LLC|4876.14
2024-11-15|17:14:24|marketing expense|Best Buy|3911.23
2023-11-18|02:56:58|payment received|XYZ Ltd|563.02
2024-04-27|21:17:17|training seminar|Apple|3798.41
2024-11-10|11:38:01|consulting fee|XYZ Ltd|2510.24
2024-02-08|17:39:20|software subscription|Adobe|-575.64
2024-03-11|18:41:28|domain renewal|Sarah Johnson|2448.4
2025-10-04|21:38:30|coffee supplies|Mark Thompson|2606.16
2025-07-07|18:41:26|project milestone payment|Tech Solutions|4056.7
2025-10-05|08:36:37|business lunch|IKEA|508.64
2024-03-18|03:36:32|domain renewal|Mark Thompson|1999.1
2024-08-30|17:55:40|equipment maintenance|Tech Solutions|2590.54
2025-07-19|05:48:18|consulting fee|XYZ Ltd|4994.56
2025-04-30|18:12:19|consulting fee|Delta Partners|469.74
2024-02-28|06:39:26|payment received|Tech Solutions|1967.57
2024-12-29|23:44:58|client payment|Amazon|590.55
2023-12-17|14:45:48|printer ink|Staples|56.61
2023-10-02|12:20:52|payment received|Spectrum|3166.52
2025-06-30|04:06:24|laptop purchase|Home Depot|3033.88
2023-10-09|08:23:54|travel reimbursement|Sunrise LLC|3618.46
2025-01-05|09:49:20|ergonomic chair|Joe Smith|3164.25
2025-05-19|11:14:38|equipment maintenance|PayPal|3465.02
2025-02-22|04:18:35|client payment|Staples|1882.96
2023-07-26|22:01:55|equipment maintenance|Tech Solutions|4480.42
2024-09-29|22:40:55|software subscription|XYZ Ltd|2558.34
2024-07-24|22:04:42|business lunch|Mark Thompson|1485.47
2024-10-11|04:27:37|coffee supplies|IKEA|3071.69
2024-09-03|15:46:50|payment received|Sarah Johnson|4104.0
2023-05-27|12:03:05|laptop purchase|Adobe|1085.42
2025-04-24|20:10:14|internet bill|Target|2031.57
2024-03-18|23:28:09|internet bill|Target|1257.21
2025-01-30|18:36:12|office supplies|Sarah Johnson|2619.29
2023-07-06|02:54:00|consulting fee|Adobe|547.61
2023-06-27|23:53:21|client payment|Mark Thompson|767.71
2023-03-29|00:39:40|consulting fee|Staples|4202.82
2023-08-30|20:59:08|consulting fee|Spectrum|3004.23
2023-06-10|00:29:51|payment received|Home Depot|535.01
2025-05-12|20:42:15|equipment maintenance|XYZ Ltd|1232.74
2024-04-25|02:00:36|travel reimbursement|Joe Smith|3731.71
2023-06-06|01:56:32|client payment|Sunrise LLC|3112.79
2025-07-08|22:42:43|printer ink|Adobe|309.82
2024-01-02|00:14:27|website design invoice|Spectrum|1577.98
2024-11-12|09:22:10|app subscription|Tech Solutions|1758.32
2024-10-25|20:13:39|laptop purchase|Mark Thompson|4653.68
2025-03-16|11:35:27|website design invoice|Staples|950.85
2024-01-03|07:30:27|website design invoice|Walmart|486.49
2025-07-17|01:19:35|training seminar|Home Depot|-924.54
2023-08-18|08:38:07|printer ink|Sunrise LLC|2670.66
2025-01-12|03:41:52|payment received|Joe Smith|2832.58
2023-04-26|12:56:59|laptop purchase|IKEA|-292.99
2024-05-30|02:51:44|software subscription|Amazon|19.85
2025-08-04|00:52:27|advertising campaign|Joe Smith|-699.98
2023-11-14|08:00:24|project milestone payment|Best Buy|4324.79
2023-03-19|04:36:36|consulting fee|Staples|-680.62
2024-07-02|02:09:48|equipment maintenance|Target|2938.25
2024-10-29|03:14:36|laptop purchase|Spectrum|-764.2
2024-07-14|07:25:04|domain renewal|Walmart|3820.48
2023-06-18|09:44:34|software subscription|XYZ Ltd|1121.54
2024-08-30|03:36:00|app subscription|Delta Partners|641.2
2023-09-21|02:04:25|laptop purchase|Tech Solutions|2528.51
2025-07-24|19:21:38|printer ink|Acme Corp|2398.89
2024-03-04|18:39:45|advertising campaign|Spectrum|173.52
2025-02-04|12:51:39|office supplies|Joe Smith|-117.72
2023-08-20|00:40:20|consulting fee|Walmart|1854.09
2023-01-02|18:07:52|advertising campaign|Best Buy|2844.9
2023-07-14|17:56:07|website design invoice|Amazon|151.78
2024-07-26|11:02:10|internet bill|Joe Smith|510.4
2025-02-04|12:06:37|equipment maintenance|Sunrise LLC|4228.57
2024-03-28|08:08:43|software subscription|Delta Partners|2095.21
2024-01-28|19:49:15|coffee supplies|XYZ Ltd|-533.1
2023-03-05|09:54:56|marketing expense|XYZ Ltd|4737.49
2023-04-28|17:25:29|laptop purchase|Best Buy|912.09
2024-07-07|20:28:51|laptop purchase|Sarah Johnson|3059.36
2023-09-24|01:04:12|travel reimbursement|Staples|-272.98
2024-12-22|20:06:07|marketing expense|XYZ Ltd|267.39
2023-12-29|14:51:08|office supplies|Staples|197.32
2025-06-02|20:28:22|laptop purchase|Amazon|444.65
2025-02-09|08:44:41|app subscription|Apple|2851.51
2024-05-09|12:03:42|marketing expense|Delta Partners|-960.34
2023-04-14|02:11:33|app subscription|Mark Thompson|1314.97
2023-12-29|13:14:51|consulting fee|XYZ Ltd|408.69
2024-04-02|23:14:59|coffee supplies|Sarah Johnson|1849.29
2023-02-26|07:38:49|client payment|Sarah Johnson|4866.79
2024-12-06|07:33:09|client payment|BlueSky Consulting|2038.86
2023-03-24|00:23:24|business lunch|Mark Thompson|2145.61
2023-12-03|09:11:48|internet bill|Home Depot|664.86
2025-07-28|17:10:39|client payment|Apple|1267.2
2024-06-29|09:38:51|equipment maintenance|Staples|-903.62
2023-07-27|07:49:39|coffee supplies|Spectrum|-121.69
2024-12-11|05:01:48|advertising campaign|IKEA|-440.31
2025-08-29|11:16:22|printer ink|Mark Thompson|340.34
2023-04-12|19:54:22|travel reimbursement|Sunrise LLC|1033.27
2023-06-01|19:26:23|coffee supplies|Delta Partners|2745.61
2024-05-19|16:15:57|domain renewal|Spectrum|2261.52
2023-03-08|13:42:46|travel reimbursement|Mark Thompson|-907.95
2025-02-04|10:54:46|ergonomic chair|Adobe|1537.85
2023-03-07|05:12:28|advertising campaign|Tech Solutions|2243.31
2025-08-07|05:21:25|travel reimbursement|Joe Smith|879.21
2025-08-06|16:57:53|equipment maintenance|Target|-925.87
2023-09-21|01:30:55|equipment maintenance|IKEA|-631.16
2024-11-18|19:04:11|coffee supplies|Amazon|3507.81
2025-03-07|11:22:56|consulting fee|Target|13.73
2023-07-13|12:00:02|marketing expense|Apple|1244.46
2023-09-19|18:13:02|business lunch|XYZ Ltd|2817.98
2024-06-16|09:04:42|marketing expense|Staples|1360.07
2024-05-10|05:40:45|software subscription|Home Depot|1975.0
2024-04-17|21:14:29|project milestone payment|Sarah Johnson|2488.81
2023-11-20|01:03:14|domain renewal|Mark Thompson|1986.83
2025-01-31|04:52:46|office supplies|BlueSky Consulting|4260.45
2025-06-01|19:10:00|payment received|Delta Partners|-51.16
2023-08-06|18:08:40|office supplies|Delta Partners|2298.12
2024-10-09|15:10:39|office supplies|Amazon|3248.52
2024-11-28|23:10:13|marketing expense|Sarah Johnson|808.63
2025-05-25|02:46:24|domain renewal|Joe Smith|313.48
2024-09-17|17:21:49|business lunch|Walmart|-983.41
2024-07-21|00:53:29|domain renewal|Spectrum|1382.08
2024-03-23|08:07:31|coffee supplies|Adobe|349.87
2025-01-18|04:34:08|project milestone payment|Best Buy|2769.44
2023-10-11|21:27:11|laptop purchase|BlueSky Consulting|3974.44
2023-08-01|01:34:19|coffee supplies|BlueSky Consulting|768.88
2025-04-25|13:33:09|travel reimbursement|Walmart|3091.94
2023-02-25|18:38:22|equipment maintenance|Spectrum|2292.49
2023-03-22|01:37:29|ergonomic chair|Spectrum|-477.52
2025-06-26|10:03:42|payment received|Acme Corp|-53.68
2023-10-31|20:32:38|payment received|Adobe|-629.52
2024-07-26|07:33:28|office supplies|Tech Solutions|1951.84
2024-08-21|15:26:15|travel reimbursement|Target|-751.53
2025-07-04|05:23:39|travel reimbursement|Target|1984.01
2023-04-24|12:24:24|app subscription|Walmart|3541.61
2025-09-01|08:10:32|travel reimbursement|Delta Partners|-325.7
2024-11-02|16:35:33|business lunch|XYZ Ltd|-679.49
2025-06-14|15:54:15|domain renewal|Delta Partners|1641.48
2024-01-21|02:55:45|printer ink|Adobe|341.0
2024-09-05|16:30:19|travel reimbursement|Best Buy|4467.63
2023-07-14|12:18:14|printer ink|Mark Thompson|444.44
2023-09-01|14:04:10|website design invoice|Best Buy|2685.03
2024-03-20|02:46:55|domain renewal|Staples|3311.31
2023-09-24|04:46:15|travel reimbursement|Target|4271.49
2023-05-10|18:21:09|internet bill|IKEA|2755.97
2025-08-21|12:03:16|laptop purchase|IKEA|-216.67
2023-10-23|09:14:22|website design invoice|Apple|2384.19
2024-06-24|23:16:40|internet bill|Target|-902.18
2023-08-05|06:57:08|training seminar|Acme Corp|3400.38
2024-08-30|22:09:45|coffee supplies|Walmart|2653.26
2025-07-03|16:47:45|app subscription|Staples|1472.09
2023-05-06|15:51:29|website design invoice|Delta Partners|4902.54
2024-11-13|08:41:28|business lunch|Home Depot|-662.66
2025-02-10|13:30:40|domain renewal|Best Buy|-593.12
2025-03-09|09:09:38|project milestone payment|Amazon|2059.95
2023-02-04|15:38:15|travel reimbursement|IKEA|4033.94
2023-02-17|00:25:48|software subscription|Best Buy|1506.86
2025-05-26|14:50:35|consulting fee|XYZ Ltd|2739.29
2023-01-23|10:53:29|software subscription|Joe Smith|2655.31
2023-04-25|21:41:27|domain renewal|Sunrise LLC|1699.27
2025-10-02|21:51:33|internet bill|Joe Smith|2290.45
2025-02-23|03:29:48|website design invoice|Joe Smith|653.13
2025-03-24|03:19:52|project milestone payment|Amazon|4595.8
2025-03-02|13:44:01|business lunch|Sarah Johnson|291.55
2025-07-07|00:47:21|domain renewal|Staples|-910.5
2024-08-14|05:20:01|printer ink|Apple|-310.9
2024-10-16|06:07:28|domain renewal|Walmart|4946.17
2024-04-20|06:53:43|office supplies|Staples|4472.75
2023-07-22|23:48:10|internet bill|Spectrum|3842.46
2023-01-14|10:51:27|laptop purchase|Target|1741.71
2024-07-12|04:51:11|payment received|Home Depot|-35.61
2023-07-31|19:49:43|office supplies|Acme Corp|2471.52
2024-10-03|15:32:36|domain renewal|Best Buy|2135.84
2024-02-03|05:44:24|client payment|Sunrise LLC|876.3
2023-10-03|11:32:41|office supplies|Apple|2586.56
2023-09-21|05:15:35|marketing expense|Home Depot|3776.94
2025-03-13|12:11:31|marketing expense|Spectrum|964.84
2025-03-27|20:22:20|advertising campaign|IKEA|1361.07
2023-11-26|19:48:26|laptop purchase|Sarah Johnson|4252.36
2025-03-23|20:12:58|software subscription|Sunrise LLC|3774.33
2025-03-16|19:02:06|laptop purchase|Walmart|282.04
2023-04-14|23:31:26|advertising campaign|XYZ Ltd|1871.48
2024-02-08|21:56:59|advertising campaign|BlueSky Consulting|158.35
2023-04-11|11:01:06|coffee supplies|Home Depot|4779.87
2024-03-03|15:53:58|domain renewal|Apple|4341.94
2024-10-25|18:57:03|project milestone payment|PayPal|-848.57
2024-02-27|07:22:28|website design invoice|XYZ Ltd|3471.58
2023-12-01|00:41:35|laptop purchase|Acme Corp|1511.31
2023-02-22|15:00:26|client payment|Spectrum|4878.88
2025-07-12|00:27:27|client payment|Amazon|134.53
2024-03-24|02:10:45|laptop purchase|Target|4524.7
2025-02-03|09:11:54|website design invoice|PayPal|4762.07
2024-12-24|12:30:32|domain renewal|Best Buy|3053.39
2023-03-25|01:54:47|printer ink|Sarah Johnson|3413.69
2024-09-20|06:32:48|business lunch|Best Buy|4232.2
2023-09-01|03:45:54|software subscription|Walmart|1316.32
2024-11-27|14:14:16|client payment|Adobe|3184.78
2025-04-11|11:00:20|ergonomic chair|Target|3014.12
2024-06-04|02:36:39|client payment|Target|4930.8
2024-08-12|02:59:52|equipment maintenance|Best Buy|-892.16
2023-11-22|13:27:35|internet bill|Amazon|1349.47
2025-09-22|16:29:37|printer ink|Home Depot|1575.77
2023-05-26|23:09:16|laptop purchase|Home Depot|-126.31
2023-09-18|15:54:11|travel reimbursement|Sunrise LLC|3648.74
2023-08-04|00:38:41|internet bill|Joe Smith|1569.35
2024-05-16|00:07:38|office supplies|Sarah Johnson|-378.17
2023-09-13|13:37:50|marketing expense|Walmart|1214.25
2025-09-15|02:31:10|printer ink|BlueSky Consulting|3802.25
2023-07-30|20:21:56|laptop purchase|Target|-823.15
2024-03-05|21:26:15|client payment|IKEA|4238.76
2025-07-26|12:08:48|payment received|Apple|2945.17
2025-08-01|03:40:56|domain renewal|Delta Partners|1881.83
2023-03-31|13:23:53|payment received|Amazon|1610.98
2024-11-03|16:02:22|equipment maintenance|XYZ Ltd|-809.09
2025-02-22|20:28:16|software subscription|BlueSky Consulting|4323.49
2025-06-29|23:45:33|payment received|Adobe|990.44
2024-09-05|16:22:01|internet bill|Delta Partners|-573.37
2025-02-27|12:50:20|consulting fee|PayPal|927.05
2024-02-18|05:42:28|office supplies|XYZ Ltd|4455.03
2023-07-09|05:14:25|app subscription|XYZ Ltd|-827.89
2024-04-24|12:44:08|equipment maintenance|Spectrum|4481.86
2025-03-12|21:06:06|training seminar|Target|4045.6
2024-08-29|11:04:27|travel reimbursement|Delta Partners|614.11
2024-06-28|02:59:45|advertising campaign|PayPal|2788.17
2024-12-02|08:43:33|training seminar|Adobe|4684.95
2024-11-28|14:02:53|printer ink|Sarah Johnson|4828.02
2024-02-07|05:58:54|equipment maintenance|Home Depot|4323.19
2023-11-03|09:04:45|client payment|Mark Thompson|2360.83
2024-12-17|21:25:27|training seminar|Home Depot|2544.65
2023-08-30|11:17:19|ergonomic chair|XYZ Ltd|2796.76
2024-02-15|08:37:06|internet bill|Tech Solutions|2698.3
2025-06-30|23:04:30|equipment maintenance|Best Buy|3742.46
2023-11-13|09:16:53|office supplies|Staples|732.23
2024-11-02|06:39:59|consulting fee|XYZ Ltd|271.12
2023-10-05|05:54:17|website design invoice|PayPal|426.38
2023-01-30|00:58:04|payment received|Joe Smith|-527.57
2024-10-21|13:39:31|coffee supplies|Delta Partners|683.94
2025-04-13|21:17:07|app subscription|Adobe|-809.66
2024-05-27|04:09:23|software subscription|Staples|-556.87
2023-05-30|17:03:51|domain renewal|Sunrise LLC|2062.1
2024-12-06|13:32:25|website design invoice|Adobe|3960.16
2025-03-22|14:19:11|printer ink|XYZ Ltd|-112.06
2025-08-24|18:09:41|app subscription|Delta Partners|-483.73
2023-01-17|11:13:03|marketing expense|Amazon|631.53
2023-08-22|16:18:02|app subscription|Target|25.47
2024-04-24|11:39:02|website design invoice|Amazon|-349.72
2024-06-30|20:23:19|software subscription|Mark Thompson|725.11
2023-11-11|01:21:16|printer ink|Walmart|1051.21
2024-02-24|18:51:53|training seminar|PayPal|1736.34
2025-08-18|19:30:24|training seminar|Walmart|3873.31
2023-06-01|05:47:10|office supplies|Mark Thompson|4613.29
2025-08-20|13:05:30|website design invoice|Adobe|2881.49
2024-02-23|14:50:24|project milestone payment|BlueSky Consulting|-882.07
2024-01-02|05:16:42|training seminar|Mark Thompson|950.05
2024-04-21|21:59:45|travel reimbursement|Home Depot|4194.82
2025-01-17|14:57:36|payment received|Apple|4728.53
2025-09-29|07:02:03|training seminar|IKEA|4751.09
2023-09-24|07:39:16|marketing expense|Sunrise LLC|-642.96
2024-02-07|06:39:49|coffee supplies|Sarah Johnson|1572.98
2023-12-06|11:10:31|client payment|Apple|474.47
2023-02-22|02:36:16|travel reimbursement|PayPal|3535.99
2023-06-28|05:52:07|project milestone payment|XYZ Ltd|72.68
2024-10-09|00:40:07|office supplies|BlueSky Consulting|2220.38
2023-02-15|07:55:25|software subscription|Delta Partners|986.06
2024-07-23|08:23:19|consulting fee|Adobe|4746.96
2025-04-17|12:52:11|training seminar|Spectrum|1467.06
2024-08-31|04:01:53|project milestone payment|Delta Partners|931.99
2024-08-18|21:55:00|domain renewal|Apple|-868.5
2025-09-01|04:26:45|consulting fee|Best Buy|409.01
2025-04-09|00:46:18|consulting fee|Best Buy|3929.98
2023-11-01|16:22:06|marketing expense|Tech Solutions|1524.99
2024-09-02|11:01:05|ergonomic chair|Target|-122.95
2025-08-14|15:25:46|website design invoice|Acme Corp|3574.49
2025-09-11|16:26:07|client payment|Walmart|945.44
2024-11-01|01:23:05|software subscription|Acme Corp|2680.65
2023-05-17|04:54:01|coffee supplies|Target|-628.28
2023-08-16|04:41:43|advertising campaign|Mark Thompson|2471.21
2025-02-06|04:10:56|advertising campaign|Walmart|4748.29
2023-07-17|02:52:41|website design invoice|Acme Corp|3138.76
2023-01-14|08:51:53|domain renewal|PayPal|2884.37
2024-05-16|02:03:32|training seminar|Staples|2186.85
2023-07-07|01:27:32|website design invoice|Acme Corp|3872.03
2025-09-30|16:48:24|equipment maintenance|Staples|-45.69
2025-06-06|03:41:31|domain renewal|Adobe|-667.7
2024-02-22|09:37:53|office supplies|Sarah Johnson|4185.03
2023-03-04|03:28:13|laptop purchase|PayPal|3136.6
2023-10-05|20:56:02|app subscription|Amazon|1913.14
2025-07-15|09:41:34|printer ink|Target|2533.88
2025-09-12|18:33:17|business lunch|BlueSky Consulting|-865.98
2024-09-14|15:58:49|payment received|BlueSky Consulting|4717.58
2025-08-06|09:08:07|coffee supplies|Mark Thompson|2108.73
2023-05-09|17:30:22|consulting fee|XYZ Ltd|3669.33
2024-08-06|18:06:06|internet bill|Tech Solutions|4355.48
2023-05-26|04:01:08|marketing expense|Target|4688.58
2024-06-19|05:15:45|app subscription|Tech Solutions|447.28
2023-11-24|08:39:57|project milestone payment|XYZ Ltd|104.02
2023-01-06|20:30:39|business lunch|Walmart|1332.17
2024-10-27|18:03:10|project milestone payment|Joe Smith|3788.68
2024-02-10|10:47:27|printer ink|Tech Solutions|2428.88
2025-05-29|23:59:54|laptop purchase|BlueSky Consulting|2621.81
2023-05-21|10:10:44|office supplies|Acme Corp|3496.44
2023-01-02|15:15:33|equipment maintenance|Tech Solutions|3622.41
2025-01-19|08:56:29|coffee supplies|Joe Smith|1302.35
2023-07-18|19:23:35|internet bill|IKEA|1465.41
2023-12-13|02:44:06|ergonomic chair|Staples|3822.8
